site_name,year,month,revenue,shipments,touch_count,avg_unit_price,admin_cost,other_revenue,salary_cost,employee_total_hours,employee_regular_hours,employee_overtime_hours,employee_count,labor_cost,staff_hours,avg_hourly_wage,outsource_cost,timee_hours,timee_hourly_cost,paid_leave,statutory_welfare,travel_expense
UNIQLO仙台,2024,4,11427139,6631569,533984,12.4,3600000,1195570,991991,460.5,414.2,46.3,2.5,5436625,4879.0,1114,0,0,0,327542,408357,147233
UNIQLO仙台,2025,4,13576970,8194848,644908,12.7,3600000,1782122,1324357,679.0,581.2,97.8,3,7206672,6012.0,1199,0,0,0,285650,544108,215635
UNIQLO仙台,2024,5,9995694,4969017,397952,12.5,3600000,1426677,1130522,423.0,402.2,20.9,3,4802897,4302.0,1116,0,0,0,285274,408357,138175
UNIQLO仙台,2025,5,12577750,7128362,567570,12.5,3600000,1849388,1288722,621.0,564.6,56.5,3,6935289,5788.8,1198,0,0,0,379200,574238,210471
UNIQLO仙台,2024,6,9768212,4061317,327903,12.4,3600000,2106895,1265563,426.8,414.2,12.6,3,4778903,4268.0,1120,0,0,0,316242,429837,135731
UNIQLO仙台,2025,6,11159920,5965920,466243,12.8,3600000,1594000,1214044,686.8,597.7,89.1,3,6134430,5028.5,1220,0,0,0,292080,545046,182807
UNIQLO仙台,2024,7,11273532,4786849,387432,12.3,3600000,2886683,1648966,423.5,402.8,20.7,4,5548725,4897.0,1133,25527,0,0,353240,429837,145843
UNIQLO仙台,2025,7,12866331,5439221,422482,12.9,3600000,3827110,1292624,704.5,599.6,105.0,3,7371350,6088.8,1211,242551,177.75,1365,465980,575176,198320
UNIQLO仙台,2024,8,10201176,4010082,308424,13.0,3600000,2991093,1638263,447.8,414.2,33.6,4,4967548,4390.8,1131,0,0,0,745418,429837,130387
UNIQLO仙台,2025,8,9340046,3334412,257203,13.0,3600000,2805633,988925,443.0,414.2,28.8,3,5872510,4857.8,1209,0,0,0,457020,619698,181979
UNIQLO仙台,2024,9,10377248,4454103,349621,12.7,3600000,2723145,1667725,487.8,414.2,73.6,4,6048130,5070.0,1193,0,0,0,317730,430978,149517
UNIQLO仙台,2025,9,12397901,5656833,435867,13.0,3600000,3541068,805241,487.8,414.2,73.6,3,7408940,5896.5,1256,611172,0,0,408859,525664,190096
UNIQLO仙台,2024,10,14317576,7054031,538935,13.1,3200000,4063545,1657371,429.3,402.8,26.5,4,7538596,6303.3,1196,0,0,0,465770,466662,193343
UNIQLO仙台,2025,10,15902343,8523230,641892,13.3,3200000,3869113,976203,723.5,604.2,119.3,3,9564847,7617.5,1256,1129360,277,1356,647274,580212,256880
UNIQLO仙台,2024,11,15472008,7603505,576269,13.2,3510000,4358503,1663916,522.5,414.2,108.3,4,8380966,6908.3,1213,375477,0,0,604509,430978,201047
UNIQLO仙台,2025,11,14998143,7770896,569878,13.6,3510000,3717247,1097080,816.0,621.3,194.7,3,8899461,7177.0,1240,765084,535.25,1429,0,599194,286744
UNIQLO仙台,2024,12,13176880,6473364,503602,12.9,3200000,3503516,1980290,437.8,402.8,35.0,3,7221678,6002.3,1203,38407,28,1372,196120,441127,200340
UNIQLO仙台,2025,12,13121067,6146047,467681,13.1,3200000,3775020,1235785,459.5,402.8,56.7,3,8038459,6451.3,1246,340580,495062,1454,937515,560025,247282
